Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ASIANPAINT,EQ,01-Jan-14,490,494.4,503.9,492,499.5,499.75,500.42,1866326,933938581.2,35291
ASIANPAINT,EQ,02-Jan-14,499.75,501.4,505.1,483,485.1,485.55,497.58,952911,474145733.3,23236
ASIANPAINT,EQ,03-Jan-14,485.55,483,491.5,480,490,489.5,487.71,994043,484806246.8,25629
ASIANPAINT,EQ,06-Jan-14,489.5,491.35,492.5,482.6,489.15,490.65,489.15,833555,407736928.9,23080
ASIANPAINT,EQ,07-Jan-14,490.65,491,493.5,484,490,489.95,489.4,708829,346899132.1,15369
ASIANPAINT,EQ,08-Jan-14,489.95,490.55,493,487.5,490.25,490.5,490.5,703600,345117759.2,19835
ASIANPAINT,EQ,09-Jan-14,490.5,488.35,491.9,485.55,490.2,490.1,488.94,639802,312823216.3,36231
ASIANPAINT,EQ,10-Jan-14,490.1,488,498,488,490.95,492,494.26,610335,301661300.2,27089
ASIANPAINT,EQ,13-Jan-14,492,488.7,499.4,488,494,494.05,494.58,1093710,540929805.7,39979
ASIANPAINT,EQ,14-Jan-14,494.05,492,496.5,486.05,487,487.4,490.75,448596,220148880,12544
ASIANPAINT,EQ,15-Jan-14,487.4,486,494.7,486,492.7,493.5,491.77,597708,293932250.6,23251
ASIANPAINT,EQ,16-Jan-14,493.5,495,496.85,490.7,495,495.6,494.74,738459,365348236.1,13556
ASIANPAINT,EQ,17-Jan-14,495.6,497.45,500,488.1,492.15,491.55,494.69,827389,409298362.3,14519
ASIANPAINT,EQ,20-Jan-14,491.55,491.5,492.5,483.75,489.2,490,488.78,1396371,682511700.1,20199
ASIANPAINT,EQ,21-Jan-14,490,478,482.9,472.3,479.5,479.25,476.93,1628124,776500792.6,47284
ASIANPAINT,EQ,22-Jan-14,479.25,478.85,478.85,466.85,474.8,472.6,470.84,2795089,1316052587,55870
ASIANPAINT,EQ,23-Jan-14,472.6,473.9,474.5,468.15,474,473,471.28,941667,443784972,27184
ASIANPAINT,EQ,24-Jan-14,473,469.25,479.55,465,479.4,478.1,474.37,1170322,555168355.5,26079
ASIANPAINT,EQ,27-Jan-14,478.1,474,478.9,470.5,477,476.4,475.39,941676,447666312.1,17909
ASIANPAINT,EQ,28-Jan-14,476.4,475.25,480.7,471,479,476.8,475.47,902422,429071958.8,11183
ASIANPAINT,EQ,29-Jan-14,476.8,478.1,484.75,473.75,483,482.9,481.49,1046075,503671206.1,29195
ASIANPAINT,EQ,30-Jan-14,482.9,478,480,463.95,475.8,477.5,471.95,2915597,1376003860,33712
ASIANPAINT,EQ,31-Jan-14,477.5,474.15,478.9,467.05,473,471.7,471.22,1681719,792464403.2,36277
ASIANPAINT,EQ,03-Feb-14,471.7,468.25,479,467.55,469.9,469.9,473.95,651775,308908280.6,16351
ASIANPAINT,EQ,04-Feb-14,469.9,465.05,477.4,464.05,475,476,471.87,969792,457619276.8,13718
ASIANPAINT,EQ,05-Feb-14,476,473.2,485.1,470.1,484.5,484.45,478.3,1254256,599913741.2,14559
ASIANPAINT,EQ,06-Feb-14,484.45,485.55,488,478,485.05,484.05,481.87,978103,471318821.5,21216
ASIANPAINT,EQ,07-Feb-14,484.05,487,491.3,484.05,490,490.5,489.23,596025,291591884.2,12320
ASIANPAINT,EQ,10-Feb-14,490.5,492.8,495,485,487.2,487,488.17,2209585,1078646598,25705
ASIANPAINT,EQ,11-Feb-14,487,489.1,489.25,480.7,483.95,484.35,485.1,1058522,513486356,20818
ASIANPAINT,EQ,12-Feb-14,484.35,479,483,474.1,478.05,477.35,476.78,856522,408375291.4,28575
ASIANPAINT,EQ,13-Feb-14,477.35,477.35,479.75,466.65,467.5,468.8,472.11,318431,150333433.7,13958
ASIANPAINT,EQ,14-Feb-14,468.8,469.65,475.45,469.25,473.05,472.8,472.48,323567,152877465.2,11154
ASIANPAINT,EQ,17-Feb-14,472.8,474.85,476.2,470.6,472.3,473.25,473.32,274976,130152554.3,9134
ASIANPAINT,EQ,18-Feb-14,473.25,473.5,477,463.65,472.35,473.1,471.85,403429,190357581.4,14616
ASIANPAINT,EQ,19-Feb-14,473.1,472,473.1,467.5,467.5,468.5,469.51,292623,137389305,10186
ASIANPAINT,EQ,20-Feb-14,468.5,466.65,467.5,460.2,460.35,461.6,463.46,694901,322061345,17186
ASIANPAINT,EQ,21-Feb-14,461.6,462.25,468.85,461.3,465,464,465.28,562640,261784880.4,21601
ASIANPAINT,EQ,24-Feb-14,464,464.5,471.8,464.05,471.3,470.8,469.24,303887,142594705.9,10801
ASIANPAINT,EQ,25-Feb-14,470.8,471.5,474.85,470.1,472.45,472.05,472.51,806751,381198004.8,22417
ASIANPAINT,EQ,26-Feb-14,472.05,470.5,479.9,470.5,478,477.15,475.7,604265,287448114.2,14633
ASIANPAINT,EQ,28-Feb-14,477.15,477.75,482.5,470.55,471.5,473,474.97,673369,319831664.8,24705
ASIANPAINT,EQ,03-Mar-14,473,471.5,476.35,468.5,471.8,472.95,473.22,431296,204099601.8,11901
ASIANPAINT,EQ,04-Mar-14,472.95,471.55,477.5,471.55,475.9,475.6,474.94,1001089,475454711.7,16044
ASIANPAINT,EQ,05-Mar-14,475.6,477.4,478.9,472,473.9,474.6,475.22,436618,207487792.1,22300
ASIANPAINT,EQ,06-Mar-14,474.6,476.5,477.2,472.55,474,474.55,474.79,437306,207630100.5,10597
ASIANPAINT,EQ,07-Mar-14,474.55,475.9,484.3,473.5,480.15,481,478.81,930496,445529096.5,30121
ASIANPAINT,EQ,10-Mar-14,481,482,490,480.6,484.45,484.85,486.61,993946,483665036.3,25213
ASIANPAINT,EQ,11-Mar-14,484.85,487.6,489.5,478.55,478.55,480.7,484.22,535386,259246202.7,14175
ASIANPAINT,EQ,12-Mar-14,480.7,481,495.95,478.6,495.05,494.3,489.67,907392,444323466.5,24499
ASIANPAINT,EQ,13-Mar-14,494.3,498,504.2,491.7,494.5,493.75,499.25,772560,385698480.7,25933
ASIANPAINT,EQ,14-Mar-14,493.75,491,499.85,490.95,494.55,495.5,495.6,711413,352576375.4,18746
ASIANPAINT,EQ,18-Mar-14,495.5,496.5,504.6,494.2,502,501.6,501.2,621330,311411807.1,28962
ASIANPAINT,EQ,19-Mar-14,501.6,503,514.45,503,513,513.05,510.02,939626,479230821.6,26575
ASIANPAINT,EQ,20-Mar-14,513.05,513.5,519.7,513,515.4,515.6,516.19,1196743,617746735.7,28466
ASIANPAINT,EQ,21-Mar-14,515.6,516.15,518,504.95,508.1,510.1,509.3,955311,486537049.2,26135
ASIANPAINT,EQ,22-Mar-14,510.1,509,510.3,506.4,506.7,506.85,507.71,24307,12340786.7,751
ASIANPAINT,EQ,24-Mar-14,506.85,507.5,525,506.05,524,523.9,518.3,985612,510844541.3,26080
ASIANPAINT,EQ,25-Mar-14,523.9,524.5,533.6,522,526.75,525.3,527.21,655035,345340598.9,17828
ASIANPAINT,EQ,26-Mar-14,525.3,526.55,533.25,523.45,530,529.1,529.09,577241,305411106.1,21884
ASIANPAINT,EQ,27-Mar-14,529.1,527.45,544,527.45,541.2,539.05,538.82,1514253,815903672.3,25142
ASIANPAINT,EQ,28-Mar-14,539.05,542,543,533.9,538,539.85,538.08,559627,301123716.9,22473
ASIANPAINT,EQ,31-Mar-14,539.85,540,550,535,547.1,547.95,544.12,545531,296834073.3,14626
ASIANPAINT,EQ,01-Apr-14,547.95,547.75,547.75,532,536.2,536.65,535.34,590285,316004344.1,16729
ASIANPAINT,EQ,02-Apr-14,536.65,536,542.8,521,523.05,522.8,527.05,1296369,683255568.2,28760
ASIANPAINT,EQ,03-Apr-14,522.8,523.55,542,523.55,541.3,538.6,532.75,960789,511859950.3,28242
ASIANPAINT,EQ,04-Apr-14,538.6,543,543,527.5,530,530.7,530.99,757681,402321883.5,17837
ASIANPAINT,EQ,07-Apr-14,530.7,531,544.85,526.5,539.9,539.55,534.32,1064991,569050916.4,20884
ASIANPAINT,EQ,09-Apr-14,539.55,542.35,549.5,538.85,547.15,547.7,544.48,620888,338063618,21334
ASIANPAINT,EQ,10-Apr-14,547.7,544.3,550,539.4,541.95,541.5,545.16,740700,403798210.1,24843
ASIANPAINT,EQ,11-Apr-14,541.5,540,546.85,535.4,543,543.7,541.71,513869,278370376.5,16231
ASIANPAINT,EQ,15-Apr-14,543.7,544,545,530.85,535,534.5,535.18,403358,215869237.1,12793
ASIANPAINT,EQ,16-Apr-14,534.5,537.65,538.5,532.5,533.6,534.9,535.14,750909,401838200.1,27172
ASIANPAINT,EQ,17-Apr-14,534.9,537.9,546.5,533.2,545,543.75,539.54,697395,376270231.2,18734
ASIANPAINT,EQ,21-Apr-14,543.75,547,547,533.15,541,539.2,536.9,1250718,671507895.4,15649
ASIANPAINT,EQ,22-Apr-14,539.2,540.2,542,534.5,536,536.4,537.57,405176,217808918.9,8861
ASIANPAINT,EQ,23-Apr-14,536.4,532.25,540.05,528.55,531.15,529.6,531,866527,460125654.7,28143
ASIANPAINT,EQ,25-Apr-14,529.6,534.5,534.5,513.05,517.65,514.95,519.88,512656,266521347,13659
ASIANPAINT,EQ,28-Apr-14,514.95,515,518.65,498.55,500,500.55,504.72,1434257,723901274,35670
ASIANPAINT,EQ,29-Apr-14,500.55,502,504.95,494.7,501.85,497.6,502.08,871746,437687626.6,20602
ASIANPAINT,EQ,30-Apr-14,497.6,498.2,511.95,498.2,505.4,505.15,506.38,642019,325108746.2,14952
ASIANPAINT,EQ,02-May-14,505.15,505,518.5,505,511.45,511.45,513.87,521441,267954515.7,15267
ASIANPAINT,EQ,05-May-14,511.45,510.25,519.75,507.45,518,518.6,515.06,507852,261575896.3,13334
ASIANPAINT,EQ,06-May-14,518.6,521,524.45,513.25,514.45,514.75,517.87,346381,179380460.1,9407
ASIANPAINT,EQ,07-May-14,514.75,510,515,504,504.7,505.65,510.22,492771,251422067.9,12137
ASIANPAINT,EQ,08-May-14,505.65,504.3,511.9,503,505,504.4,506.38,473377,239710508.3,13800
